service,trigger,cost_low,cost_high,hours_low,hours_high,notes
Brake pad replacement,brake_worn,180,450,1.0,2.5,Front or rear pads; includes labor
Brake rotor + pad service,brake_worn_severe,350,800,2.0,4.0,When rotors also need resurfacing or replacement
Battery replacement,battery_weak,120,320,0.3,1.0,Standard 12V; premium/AGM higher
Tire replacement (set of 4),tire_worn,500,1400,1.0,2.0,Includes mounting and balancing
Tire rotation & alignment,tire_mild,80,180,0.5,1.5,Preventive maintenance
Oil & filter change,high_mileage_routine,40,110,0.5,1.0,Conventional to full synthetic
Transmission fluid service,high_mileage_trans,180,400,1.0,2.0,Manual or automatic
Spark plug replacement,engine_age,120,380,1.0,2.5,Set of 4-8 depending on engine
Air filter replacement,routine,25,90,0.3,0.8,Engine or cabin filter
Coolant flush,high_mileage_routine,110,220,1.0,1.5,Recommended every 50-100k km
Timing belt service,engine_age_high,450,1200,3.0,6.0,Major interval service
Alternator replacement,battery_weak_severe,400,900,1.5,3.5,If battery drains persist
Suspension inspection,age_high,80,200,0.5,1.5,Diagnostic only
Full inspection (multi-point),multiple_flags,100,250,1.0,2.0,Recommended when several signals flag
General service & diagnostic,default,90,260,0.8,2.0,Fallback estimate
